4917 ALCOTT AV|5292-9-470.000|63120|Single Family Units|$7,147.00|$139.35|2025
1157 AUBERT AV|3767-9-210.000|63113|Two Family Unit|$13,544.00|$835.60|2023
4459 DEWEY AV|4191-9-370.000|63116|Single Family Units|$70,040.00|$3,564.54|2023
1408 CORA AV|3775-9-195.000||Single Family Units|$10,296.00|$645.21|2023
1433 ROWAN AV|3821-9-565.000|63112|Single Family Units|$6,283.00|$436.63|2023
9124 JORDAN ST|6358-9-060.000|63137|Single Family Units|$32,824.00|$1,178.60|2024
2814 MARCUS AV|3712-9-280.000|63115|Single Family Units|$4,813.00|$363.27|2023
5032 DURANT AV|5742-9-110.000|63115|Single Family Units|$8,871.00|$165.53|2025
8509 MORA LA|4334-9-300.000|63147|Single Family Units|$29,021.00|$1,673.47|2023
3006 GOODFELLOW BLVD|5238-9-675.000|63115|Commercial|$18,300.00|$1,284.42|2024
4142 PENROSE ST|3575-9-050.000|63115|Single Family Units|$7,771.00|$326.63|2024
2217 ALBERTA ST|2562-9-210.000|63118|Two Family Unit|$17,944.00|$670.49|2024
5742 AMELIA AV|5388-9-070.000|63120|Single Family Units|$8,884.00|$365.99|2024
6010 LUCILLE AV|5346-9-190.000|63136|Single Family Units|$7,635.00|$322.21|2024
1123 NEWHOUSE AV|2412-9-220.000|63107|Two Family Unit|$7,902.00|$528.47|2023
4124 N TAYLOR AV|4412-9-355.000|63115|Single Family Units|$19,334.00|$329.29|2025
5711 GOODFELLOW BLVD|5456-9-350.000|63136|Single Family Units|$20,280.00|$344.02|2025
6310 PENNSYLVANIA AV|2949-9-100.000|63111|Vacant Residential Lot|$3,400.00|$190.50|2023
5960 VIVIAN PL|5797-9-080.000|63147|Single Family Units|$30,823.00|$506.95|2025
1284 HODIAMONT AV|3833-9-305.032|63112|Vacant Residential Lot|$16,853.00|$289.99|2025
5201 MAFFITT AV|4499-9-505.000|63113|Single Family Units|$12,538.00|$488.56|2024
